hex,built,capacity_cph
87274d621ffffff,0,0
87274d620ffffff,0,0
87274d622ffffff,0,0
87274d631ffffff,0,0
87274d633ffffff,0,0
87274d632ffffff,0,0
87274d614ffffff,0,0
87274d789ffffff,0,0
87274d78bffffff,0,0
87274d799ffffff,0,0
87274d79bffffff,0,0
87274d6b4ffffff,1,1
87274d79affffff,0,0
872748b6dffffff,0,0
872748b6cffffff,0,0
872748b6effffff,0,0
872748b45ffffff,0,0
872748b40ffffff,0,0
872748b42ffffff,0,0
872748b55ffffff,0,0
872748b73ffffff,0,0
872748b72ffffff,0,0
872748b70ffffff,0,0
87274ab21ffffff,0,0
872661b5bffffff,0,0
872661b59ffffff,0,0
872661b5dffffff,0,0
872661b43ffffff,1,1
872661b40ffffff,0,0
872661b44ffffff,0,0
872661b71ffffff,0,0
872661b75ffffff,0,0
872661b74ffffff,0,0
872a924daffffff,0,0
872661b2dffffff,0,0
872a924d3ffffff,0,0
872a924d2ffffff,0,0
872661b25ffffff,0,0
872661b26ffffff,0,0
872661b35ffffff,0,0
872a9249bffffff,0,0
872a92498ffffff,0,0
872a9249cffffff,0,0
87266c018ffffff,0,0
87266c01cffffff,0,0
87266c011ffffff,0,0
87266c010ffffff,0,0
87266c016ffffff,0,0
87266c18bffffff,0,0
87266c18effffff,0,0
87266c183ffffff,0,0
87266c182ffffff,0,0
87266c180ffffff,0,0
87266c186ffffff,0,0
87266c1b1ffffff,0,0
87266c1b5ffffff,0,0
872661b62ffffff,0,0
872661b66ffffff,0,0
87266c1b0ffffff,0,0
87266c188ffffff,0,0
87266c019ffffff,0,0
87266c0e6ffffff,0,0
87266c0e0ffffff,1,1
87266c0e3ffffff,0,0
87266c0eeffffff,0,0
87266c0ebffffff,0,0
87266c0cdffffff,0,0
87266c0c9ffffff,0,0
87266c396ffffff,0,0
87266c392ffffff,0,0
87266c393ffffff,0,0
87266c76dffffff,0,0
87266c39effffff,0,0
87266c39affffff,0,0
87266c39bffffff,1,1
87266c2a6ffffff,0,0
87266c2b5ffffff,0,0
87266c2a2ffffff,0,0
87266c284ffffff,0,0
87266c285ffffff,0,0
87266c281ffffff,0,0
87266c28effffff,0,0
87266c288ffffff,0,0
87266c28bffffff,0,0
872668925ffffff,0,0
87266c2d2ffffff,0,0
87266892cffffff,0,0
87266892dffffff,0,0
872668929ffffff,0,0
872668976ffffff,0,0
872668970ffffff,0,0
872668973ffffff,0,0
872668955ffffff,0,0
872668942ffffff,0,0
87266895cffffff,0,0
87266895dffffff,1,1
872668959ffffff,0,0
872668864ffffff,0,0
872668866ffffff,0,0
872668860ffffff,0,0
872668863ffffff,0,0
87266886effffff,0,0
872668845ffffff,1,1
87266886affffff,0,0
87266884cffffff,0,0
872668848ffffff,0,0
87266884dffffff,0,0
872668b32ffffff,0,0
872668b14ffffff,0,0
872668b15ffffff,0,0
872668b11ffffff,0,0
872668b1cffffff,0,0
872668b18ffffff,0,0
872668b19ffffff,0,0
872668b1bffffff,0,0
872668a26ffffff,0,0
872668a22ffffff,0,0
872668a23ffffff,0,0
872668a05ffffff,0,0
872668a01ffffff,0,0
872668a0cffffff,0,0
872668a08ffffff,0,0
872668a09ffffff,0,0
872668a0bffffff,1,1
872668a56ffffff,0,0
872668a52ffffff,0,0
872668aecffffff,0,0
872668ae8ffffff,0,0
872668aebffffff,0,0
872668acdffffff,0,0
87266c390ffffff,0,0
87266c0e8ffffff,0,0
